ปี,เดือน,จังหวัด,ปริมาณฝน
2532,ม.ค.,พะเยา,3.31
2532,ก.พ.,พะเยา,0.45
2532,มี.ค.,พะเยา,10.98
2532,เม.ย.,พะเยา,45.44
2532,พ.ค.,พะเยา,245.43
2532,มิ.ย.,พะเยา,148.13
2532,ก.ค.,พะเยา,194.33
2532,ส.ค.,พะเยา,185.77
2532,ก.ย.,พะเยา,220.51
2532,ต.ค.,พะเยา,142.22
2532,พ.ย.,พะเยา,9.5
2532,ธ.ค.,พะเยา,0.0
2533,ม.ค.,พะเยา,3.07
2533,ก.พ.,พะเยา,16.2
2533,มี.ค.,พะเยา,32.41
2533,เม.ย.,พะเยา,96.72
2533,พ.ค.,พะเยา,235.71
2533,มิ.ย.,พะเยา,140.25
2533,ก.ค.,พะเยา,310.95
2533,ส.ค.,พะเยา,137.99
2533,ก.ย.,พะเยา,194.1
2533,ต.ค.,พะเยา,116.04
2533,พ.ย.,พะเยา,59.5
2533,ธ.ค.,พะเยา,0.07
2534,ม.ค.,พะเยา,2.64
2534,ก.พ.,พะเยา,0.0
2534,มี.ค.,พะเยา,20.04
2534,เม.ย.,พะเยา,86.86
2534,พ.ค.,พะเยา,192.82
2534,มิ.ย.,พะเยา,136.8
2534,ก.ค.,พะเยา,112.27
2534,ส.ค.,พะเยา,265.2
2534,ก.ย.,พะเยา,173.51
2534,ต.ค.,พะเยา,86.69
2534,พ.ย.,พะเยา,19.59
2534,ธ.ค.,พะเยา,2.98
2535,ม.ค.,พะเยา,8.48
2535,ก.พ.,พะเยา,41.46
2535,มี.ค.,พะเยา,0.0
2535,เม.ย.,พะเยา,34.32
2535,พ.ค.,พะเยา,31.15
2535,มิ.ย.,พะเยา,65.01
2535,ก.ค.,พะเยา,240.38
2535,ส.ค.,พะเยา,172.79
2535,ก.ย.,พะเยา,191.96
2535,ต.ค.,พะเยา,138.17
2535,พ.ย.,พะเยา,27.82
2535,ธ.ค.,พะเยา,96.42
2536,ม.ค.,พะเยา,0.02
2536,ก.พ.,พะเยา,0.0
2536,มี.ค.,พะเยา,37.79
2536,เม.ย.,พะเยา,65.1
2536,พ.ค.,พะเยา,140.01
