ปี,เดือน,ปริมาณฝน,จังหวัด
2531,พ.ค.,171.79,ลำปาง
2531,มิ.ย.,260.89,ลำปาง
2531,ก.ค.,151.35,ลำปาง
2531,ส.ค.,207.45,ลำปาง
2531,ก.ย.,138.45,ลำปาง
2531,ต.ค.,171.49,ลำปาง
2531,พ.ย.,47.04,ลำปาง
2531,ธ.ค.,0.04,ลำปาง
2532,ม.ค.,2.21,ลำปาง
2532,ก.พ.,1.36,ลำปาง
2532,มี.ค.,14.11,ลำปาง
2532,เม.ย.,16.41,ลำปาง
2532,พ.ค.,245.13,ลำปาง
2532,มิ.ย.,144.85,ลำปาง
2532,ก.ค.,146.63,ลำปาง
2532,ส.ค.,189.97,ลำปาง
2532,ก.ย.,218.19,ลำปาง
2532,ต.ค.,177.7,ลำปาง
2532,พ.ย.,5.32,ลำปาง
2532,ธ.ค.,0.0,ลำปาง
2533,ม.ค.,0.52,ลำปาง
2533,ก.พ.,6.72,ลำปาง
2533,มี.ค.,32.09,ลำปาง
2533,เม.ย.,55.42,ลำปาง
2533,พ.ค.,236.12,ลำปาง
2533,มิ.ย.,113.07,ลำปาง
2533,ก.ค.,115.55,ลำปาง
2533,ส.ค.,155.16,ลำปาง
2533,ก.ย.,116.38,ลำปาง
2533,ต.ค.,116.38,ลำปาง
2533,พ.ย.,55.04,ลำปาง
2533,ธ.ค.,0.01,ลำปาง
2534,ม.ค.,1.75,ลำปาง
2534,ก.พ.,0.0,ลำปาง
2534,มี.ค.,8.25,ลำปาง
2534,เม.ย.,47.63,ลำปาง
2534,พ.ค.,103.79,ลำปาง
2534,มิ.ย.,112.41,ลำปาง
2534,ก.ค.,81.35,ลำปาง
2534,ส.ค.,277.58,ลำปาง
2534,ก.ย.,116.19,ลำปาง
2534,ต.ค.,102.89,ลำปาง
2534,พ.ย.,17.76,ลำปาง
2534,ธ.ค.,3.13,ลำปาง
2535,ม.ค.,7.5,ลำปาง
2535,ก.พ.,42.36,ลำปาง
2535,มี.ค.,0.0,ลำปาง
2535,เม.ย.,13.34,ลำปาง
2535,พ.ค.,30.8,ลำปาง
2535,มิ.ย.,92.18,ลำปาง
2535,ก.ค.,227.72,ลำปาง
2535,ส.ค.,159.99,ลำปาง
2535,ก.ย.,287.62,ลำปาง
2535,ต.ค.,143.24,ลำปาง
2535,พ.ย.,6.84,ลำปาง
2535,ธ.ค.,89.81,ลำปาง
2536,ม.ค.,0.03,ลำปาง
2536,ก.พ.,0.0,ลำปาง
2536,มี.ค.,21.76,ลำปาง
2536,เม.ย.,51.22,ลำปาง
2536,พ.ค.,138.05,ลำปาง
2536,มิ.ย.,61.15,ลำปาง
2536,ก.ค.,82.92,ลำปาง
2536,ส.ค.,128.42,ลำปาง
2536,ก.ย.,246.05,ลำปาง
2536,ต.ค.,94.87,ลำปาง
2536,พ.ย.,0.41,ลำปาง
2536,ธ.ค.,1.19,ลำปาง
2537,ม.ค.,0.0,ลำปาง
2537,ก.พ.,0.49,ลำปาง
2537,มี.ค.,99.37,ลำปาง
2537,เม.ย.,62.19,ลำปาง
2537,พ.ค.,307.68,ลำปาง
2537,มิ.ย.,208.16,ลำปาง
2537,ก.ค.,182.16,ลำปาง
2537,ส.ค.,274.99,ลำปาง
2537,ก.ย.,179.58,ลำปาง
2537,ต.ค.,60.32,ลำปาง
2537,พ.ย.,9.8,ลำปาง
2537,ธ.ค.,19.65,ลำปาง
2538,ม.ค.,0.19,ลำปาง
2538,ก.พ.,0.11,ลำปาง
2538,มี.ค.,7.98,ลำปาง
2538,เม.ย.,42.23,ลำปาง
2538,พ.ค.,142.23,ลำปาง
2538,มิ.ย.,105.96,ลำปาง
2538,ก.ค.,226.83,ลำปาง
2538,ส.ค.,274.38,ลำปาง
2538,ก.ย.,164.58,ลำปาง
2538,ต.ค.,79.49,ลำปาง
2538,พ.ย.,56.44,ลำปาง
2538,ธ.ค.,0.0,ลำปาง
2539,ม.ค.,0.02,ลำปาง
2539,ก.พ.,28.86,ลำปาง
2539,มี.ค.,34.15,ลำปาง
2539,เม.ย.,85.12,ลำปาง
2539,พ.ค.,109.28,ลำปาง
2539,มิ.ย.,180.11,ลำปาง
2539,ก.ค.,114.83,ลำปาง
2539,ส.ค.,247.89,ลำปาง
2539,ก.ย.,255.78,ลำปาง
2539,ต.ค.,110.13,ลำปาง
2539,พ.ย.,60.8,ลำปาง
2539,ธ.ค.,0.28,ลำปาง
2540,ม.ค.,0.01,ลำปาง
2540,ก.พ.,1.25,ลำปาง
2540,มี.ค.,32.8,ลำปาง
2540,เม.ย.,60.39,ลำปาง
2540,พ.ค.,84.79,ลำปาง
2540,มิ.ย.,52.03,ลำปาง
2540,ก.ค.,179.98,ลำปาง
2540,ส.ค.,203.13,ลำปาง
2540,ก.ย.,203.63,ลำปาง
2540,ต.ค.,81.76,ลำปาง
2540,พ.ย.,7.55,ลำปาง
2540,ธ.ค.,0.0,ลำปาง
2541,ม.ค.,9.18,ลำปาง
2541,ก.พ.,0.03,ลำปาง
2541,มี.ค.,8.65,ลำปาง
2541,เม.ย.,36.88,ลำปาง
2541,พ.ค.,158.25,ลำปาง
2541,มิ.ย.,136.36,ลำปาง
2541,ก.ค.,143.53,ลำปาง
2541,ส.ค.,161.59,ลำปาง
2541,ก.ย.,184.36,ลำปาง
2541,ต.ค.,44.53,ลำปาง
2541,พ.ย.,40.47,ลำปาง
2541,ธ.ค.,0.32,ลำปาง
2542,ม.ค.,7.91,ลำปาง
2542,ก.พ.,19.07,ลำปาง
2542,มี.ค.,29.17,ลำปาง
2542,เม.ย.,147.23,ลำปาง
2542,พ.ค.,212.61,ลำปาง
2542,มิ.ย.,119.86,ลำปาง
2542,ก.ค.,73.25,ลำปาง
2542,ส.ค.,173.18,ลำปาง
2542,ก.ย.,240.81,ลำปาง
2542,ต.ค.,178.64,ลำปาง
2542,พ.ย.,39.75,ลำปาง
2542,ธ.ค.,9.71,ลำปาง
2543,ม.ค.,0.02,ลำปาง
2543,ก.พ.,39.45,ลำปาง
2543,มี.ค.,14.87,ลำปาง
2543,เม.ย.,96.78,ลำปาง
2543,พ.ค.,234.4,ลำปาง
2543,มิ.ย.,147.93,ลำปาง
2543,ก.ค.,115.08,ลำปาง
2543,ส.ค.,163.83,ลำปาง
2543,ก.ย.,198.61,ลำปาง
2543,ต.ค.,133.97,ลำปาง
2543,พ.ย.,1.56,ลำปาง
2543,ธ.ค.,1.17,ลำปาง
2544,ม.ค.,1.47,ลำปาง
2544,ก.พ.,0.0,ลำปาง
2544,มี.ค.,124.65,ลำปาง
2544,เม.ย.,9.0,ลำปาง
2544,พ.ค.,261.01,ลำปาง
2544,มิ.ย.,86.07,ลำปาง
2544,ก.ค.,160.2,ลำปาง
2544,ส.ค.,247.36,ลำปาง
2544,ก.ย.,154.82,ลำปาง
2544,ต.ค.,224.09,ลำปาง
2544,พ.ย.,8.62,ลำปาง
2544,ธ.ค.,5.18,ลำปาง
2545,ม.ค.,11.3,ลำปาง
2545,ก.พ.,4.41,ลำปาง
2545,มี.ค.,20.13,ลำปาง
2545,เม.ย.,40.88,ลำปาง
2545,พ.ค.,246.38,ลำปาง
2545,มิ.ย.,71.65,ลำปาง
2545,ก.ค.,109.2,ลำปาง
2545,ส.ค.,268.56,ลำปาง
2545,ก.ย.,285.87,ลำปาง
2545,ต.ค.,90.3,ลำปาง
2545,พ.ย.,138.26,ลำปาง
2545,ธ.ค.,25.26,ลำปาง
2546,ม.ค.,6.26,ลำปาง
2546,ก.พ.,8.64,ลำปาง
2546,มี.ค.,52.1,ลำปาง
2546,เม.ย.,73.59,ลำปาง
2546,พ.ค.,96.27,ลำปาง
2546,มิ.ย.,129.67,ลำปาง
2546,ก.ค.,145.61,ลำปาง
2546,ส.ค.,122.52,ลำปาง
2546,ก.ย.,276.64,ลำปาง
2546,ต.ค.,35.0,ลำปาง
2546,พ.ย.,4.56,ลำปาง
2546,ธ.ค.,0.0,ลำปาง
2547,ม.ค.,3.1,ลำปาง
2547,ก.พ.,2.34,ลำปาง
2547,มี.ค.,2.87,ลำปาง
2547,เม.ย.,60.75,ลำปาง
2547,พ.ค.,209.51,ลำปาง
2547,มิ.ย.,174.02,ลำปาง
2547,ก.ค.,146.3,ลำปาง
2547,ส.ค.,101.88,ลำปาง
2547,ก.ย.,244.91,ลำปาง
2547,ต.ค.,41.37,ลำปาง
2547,พ.ย.,34.14,ลำปาง
2547,ธ.ค.,0.0,ลำปาง
2548,ม.ค.,10.3,ลำปาง
2548,ก.พ.,4.42,ลำปาง
2548,มี.ค.,27.37,ลำปาง
2548,เม.ย.,89.08,ลำปาง
2548,พ.ค.,97.33,ลำปาง
2548,มิ.ย.,148.73,ลำปาง
2548,ก.ค.,157.64,ลำปาง
2548,ส.ค.,159.9,ลำปาง
2548,ก.ย.,378.88,ลำปาง
2548,ต.ค.,88.51,ลำปาง
2548,พ.ย.,32.48,ลำปาง
2548,ธ.ค.,21.92,ลำปาง
2549,ม.ค.,0.0,ลำปาง
2549,ก.พ.,10.66,ลำปาง
2549,มี.ค.,32.6,ลำปาง
2549,เม.ย.,150.87,ลำปาง
2549,พ.ค.,273.75,ลำปาง
2549,มิ.ย.,179.46,ลำปาง
2549,ก.ค.,186.65,ลำปาง
2549,ส.ค.,269.96,ลำปาง
2549,ก.ย.,226.14,ลำปาง
2549,ต.ค.,124.27,ลำปาง
2549,พ.ย.,0.63,ลำปาง
2549,ธ.ค.,0.5,ลำปาง
2550,ม.ค.,0.01,ลำปาง
2550,ก.พ.,1.24,ลำปาง
2550,มี.ค.,5.05,ลำปาง
2550,เม.ย.,76.07,ลำปาง
2550,พ.ค.,314.03,ลำปาง
2550,มิ.ย.,125.58,ลำปาง
2550,ก.ค.,100.7,ลำปาง
2550,ส.ค.,154.64,ลำปาง
2550,ก.ย.,186.74,ลำปาง
2550,ต.ค.,104.97,ลำปาง
2550,พ.ย.,19.08,ลำปาง
2550,ธ.ค.,0.0,ลำปาง
2551,ม.ค.,10.92,ลำปาง
2551,ก.พ.,31.54,ลำปาง
2551,มี.ค.,22.19,ลำปาง
2551,เม.ย.,85.51,ลำปาง
2551,พ.ค.,152.84,ลำปาง
2551,มิ.ย.,114.97,ลำปาง
2551,ก.ค.,129.43,ลำปาง
2551,ส.ค.,150.38,ลำปาง
2551,ก.ย.,202.53,ลำปาง
2551,ต.ค.,186.14,ลำปาง
2551,พ.ย.,40.85,ลำปาง
2551,ธ.ค.,13.8,ลำปาง
2552,ม.ค.,0.03,ลำปาง
2552,ก.พ.,0.38,ลำปาง
2552,มี.ค.,20.55,ลำปาง
2552,เม.ย.,66.57,ลำปาง
2552,พ.ค.,218.33,ลำปาง
2552,มิ.ย.,152.65,ลำปาง
2552,ก.ค.,106.36,ลำปาง
2552,ส.ค.,147.26,ลำปาง
2552,ก.ย.,182.14,ลำปาง
2552,ต.ค.,136.15,ลำปาง
2552,พ.ย.,3.1,ลำปาง
2552,ธ.ค.,0.83,ลำปาง
2553,ม.ค.,31.43,ลำปาง
2553,ก.พ.,0.05,ลำปาง
2553,มี.ค.,26.39,ลำปาง
2553,เม.ย.,22.47,ลำปาง
2553,พ.ค.,78.38,ลำปาง
2553,มิ.ย.,150.25,ลำปาง
2553,ก.ค.,152.21,ลำปาง
2553,ส.ค.,349.31,ลำปาง
2553,ก.ย.,185.98,ลำปาง
2553,ต.ค.,185.61,ลำปาง
2553,พ.ย.,1.54,ลำปาง
2553,ธ.ค.,24.68,ลำปาง
2554,ม.ค.,4.94,ลำปาง
2554,ก.พ.,0.63,ลำปาง
2554,มี.ค.,98.14,ลำปาง
2554,เม.ย.,134.64,ลำปาง
2554,พ.ค.,294.21,ลำปาง
2554,มิ.ย.,208.86,ลำปาง
2554,ก.ค.,228.6,ลำปาง
2554,ส.ค.,264.8,ลำปาง
2554,ก.ย.,286.55,ลำปาง
2554,ต.ค.,161.54,ลำปาง
2554,พ.ย.,4.79,ลำปาง
2554,ธ.ค.,0.54,ลำปาง
2555,ม.ค.,8.41,ลำปาง
2555,ก.พ.,8.19,ลำปาง
2555,มี.ค.,39.76,ลำปาง
2555,เม.ย.,53.26,ลำปาง
2555,พ.ค.,282.58,ลำปาง
2555,มิ.ย.,87.15,ลำปาง
2555,ก.ค.,128.13,ลำปาง
2555,ส.ค.,126.36,ลำปาง
2555,ก.ย.,262.63,ลำปาง
2555,ต.ค.,83.37,ลำปาง
2555,พ.ย.,63.3,ลำปาง
2555,ธ.ค.,10.95,ลำปาง
2556,ม.ค.,27.63,ลำปาง
2556,ก.พ.,9.96,ลำปาง
2556,มี.ค.,17.0,ลำปาง
2556,เม.ย.,46.27,ลำปาง
2556,พ.ค.,161.55,ลำปาง
2556,มิ.ย.,99.03,ลำปาง
2556,ก.ค.,117.3,ลำปาง
2556,ส.ค.,208.76,ลำปาง
2556,ก.ย.,206.53,ลำปาง
2556,ต.ค.,165.44,ลำปาง
2556,พ.ย.,45.59,ลำปาง
2556,ธ.ค.,14.66,ลำปาง
2557,ม.ค.,0.0,ลำปาง
2557,ก.พ.,0.27,ลำปาง
2557,มี.ค.,7.86,ลำปาง
2557,เม.ย.,79.44,ลำปาง
2557,พ.ค.,199.34,ลำปาง
2557,มิ.ย.,138.75,ลำปาง
2557,ก.ค.,179.76,ลำปาง
